16:56:14,CPU,%user,%nice,%system,%iowait,%steal,%idle
16:56:15,1,68.69,0.00,22.22,0.00,0.00,9.09
16:56:16,1,66.00,0.00,22.00,0.00,0.00,12.00
16:56:17,1,78.79,0.00,18.18,0.00,0.00,3.03
16:56:18,1,81.19,0.00,14.85,0.00,0.00,3.96
16:56:19,1,72.55,0.00,22.55,0.00,0.00,4.90
16:56:20,1,63.73,0.00,21.57,0.00,0.00,14.71
16:56:21,1,63.64,0.00,19.19,0.00,0.00,17.17
16:56:22,1,77.00,0.00,12.00,0.00,0.00,11.00
16:56:23,1,71.29,0.00,18.81,0.00,0.00,9.90
16:56:24,1,62.00,0.00,30.00,0.00,0.00,8.00
16:56:25,1,73.20,0.00,15.46,0.00,0.00,11.34
16:56:26,1,78.64,0.00,13.59,0.00,0.00,7.77
16:56:27,1,73.40,0.00,19.15,0.00,0.00,7.45
16:56:28,1,66.33,0.00,20.41,0.00,0.00,13.27
16:56:29,1,83.51,0.00,13.40,0.00,0.00,3.09
16:56:30,1,69.15,0.00,13.83,0.00,0.00,17.02
16:56:31,1,71.84,0.00,15.53,0.00,0.00,12.62
16:56:32,1,64.95,0.00,19.59,0.00,0.00,15.46
16:56:33,1,57.00,0.00,25.00,0.00,0.00,18.00
16:56:34,1,56.57,0.00,28.28,0.00,0.00,15.15
16:56:35,1,66.67,1.11,16.67,0.00,0.00,15.56
16:56:36,1,63.00,0.00,16.00,0.00,0.00,21.00
16:56:37,1,69.15,1.06,13.83,0.00,0.00,15.96
16:56:38,1,62.63,0.00,24.24,0.00,0.00,13.13
16:56:39,1,63.37,0.00,19.80,0.00,0.00,16.83
16:56:40,1,63.73,0.00,24.51,0.00,0.00,11.76
16:56:41,1,68.63,0.00,21.57,0.00,0.00,9.80
16:56:42,1,65.35,0.00,30.69,0.00,0.00,3.96
16:56:43,1,75.00,0.00,17.71,0.00,0.00,7.29
16:56:44,1,74.26,0.00,15.84,0.00,0.00,9.90
16:56:45,1,78.35,0.00,9.28,0.00,0.00,12.37
16:56:46,1,66.67,0.00,13.54,0.00,0.00,19.79
16:56:47,1,71.43,0.00,13.27,0.00,0.00,15.31
16:56:48,1,76.77,0.00,13.13,0.00,0.00,10.10
16:56:49,1,62.50,0.00,19.23,0.00,0.00,18.27
16:56:50,1,70.71,0.00,14.14,0.00,0.00,15.15
16:56:51,1,81.19,0.00,8.91,0.00,0.00,9.90
16:56:52,1,80.81,0.00,8.08,0.00,0.00,11.11
16:56:53,1,72.45,0.00,16.33,0.00,0.00,11.22
16:56:54,1,77.67,0.00,12.62,0.00,0.00,9.71
16:56:55,1,74.19,0.00,19.35,0.00,0.00,6.45
16:56:56,1,78.35,0.00,10.31,0.00,0.00,11.34
16:56:57,1,73.74,0.00,14.14,0.00,0.00,12.12
16:56:58,1,64.95,0.00,16.49,0.00,0.00,18.56
16:56:59,1,53.85,0.00,26.92,0.00,0.00,19.23
16:57:00,1,58.00,0.00,22.00,0.00,0.00,20.00
16:57:01,1,63.27,0.00,16.33,0.00,0.00,20.41
16:57:02,1,78.22,0.00,12.87,0.00,0.00,8.91
16:57:03,1,61.00,0.00,22.00,0.00,0.00,17.00
16:57:04,1,73.53,0.98,12.75,0.00,0.00,12.75
16:57:05,1,68.57,1.90,11.43,0.00,0.00,18.10
16:57:06,1,61.76,0.00,19.61,0.00,0.00,18.63
16:57:07,1,69.07,0.00,20.62,0.00,0.00,10.31
16:57:08,1,78.79,0.00,13.13,0.00,0.00,8.08
16:57:09,1,65.35,0.00,22.77,0.00,0.00,11.88
16:57:10,1,73.20,0.00,11.34,0.00,0.00,15.46
16:57:11,1,72.28,0.00,17.82,0.00,0.00,9.90
16:57:12,1,82.18,0.00,7.92,0.00,0.00,9.90
16:57:13,1,70.00,0.00,25.00,0.00,0.00,5.00
16:57:14,1,63.27,0.00,23.47,0.00,0.00,13.27
Average:,1,69.87,0.08,17.71,0.00,0.00,12.34
