17:04:08,CPU,%user,%nice,%system,%iowait,%steal,%idle
17:04:09,1,79.00,0.00,9.00,0.00,0.00,12.00
17:04:10,1,79.59,0.00,7.14,0.00,0.00,13.27
17:04:11,1,55.24,0.00,10.48,0.00,0.00,34.29
17:04:12,1,59.18,0.00,11.22,0.00,0.00,29.59
17:04:13,1,40.40,0.00,16.16,0.00,0.00,43.43
17:04:14,1,53.54,0.00,27.27,0.00,0.00,19.19
17:04:15,1,76.24,0.00,10.89,0.00,0.00,12.87
17:04:16,1,72.28,0.00,5.94,0.00,0.00,21.78
17:04:17,1,54.74,0.00,12.63,0.00,0.00,32.63
17:04:18,1,60.20,0.00,9.18,0.00,0.00,30.61
17:04:19,1,88.89,0.00,6.06,0.00,0.00,5.05
17:04:20,1,66.04,0.00,7.55,0.00,0.00,26.42
17:04:21,1,65.35,0.00,8.91,0.00,0.00,25.74
17:04:22,1,73.47,0.00,6.12,0.00,0.00,20.41
17:04:23,1,74.75,0.00,6.06,0.00,0.00,19.19
17:04:24,1,52.08,0.00,6.25,0.00,0.00,41.67
17:04:25,1,49.50,0.00,13.86,0.00,0.00,36.63
17:04:26,1,71.03,0.00,12.15,0.00,0.00,16.82
17:04:27,1,76.47,0.00,7.84,0.00,0.00,15.69
17:04:28,1,40.62,0.00,20.83,0.00,0.00,38.54
17:04:29,1,51.92,0.00,15.38,0.00,0.00,32.69
17:04:30,1,75.49,0.00,6.86,0.00,0.00,17.65
17:04:31,1,54.64,0.00,11.34,0.00,0.00,34.02
17:04:32,1,47.52,0.00,11.88,0.00,0.00,40.59
17:04:33,1,51.00,0.00,14.00,0.00,0.00,35.00
17:04:34,1,66.00,0.00,11.00,0.00,0.00,23.00
17:04:35,1,83.17,0.00,4.95,0.00,0.00,11.88
17:04:36,1,72.45,0.00,11.22,0.00,0.00,16.33
17:04:37,1,72.45,0.00,11.22,0.00,0.00,16.33
17:04:38,1,86.87,0.00,5.05,0.00,0.00,8.08
17:04:39,1,70.00,0.00,7.00,0.00,0.00,23.00
17:04:40,1,81.37,0.00,9.80,0.00,0.00,8.82
17:04:41,1,59.41,0.00,12.87,0.00,0.00,27.72
17:04:42,1,42.31,0.00,22.12,0.00,0.00,35.58
17:04:43,1,31.00,0.00,26.00,0.00,0.00,43.00
17:04:44,1,74.75,0.00,10.10,0.00,0.00,15.15
17:04:45,1,86.60,0.00,7.22,0.00,0.00,6.19
17:04:46,1,80.20,0.00,5.94,0.00,0.00,13.86
17:04:47,1,68.04,0.00,9.28,0.00,0.00,22.68
17:04:48,1,56.73,0.00,13.46,0.00,0.00,29.81
17:04:49,1,87.00,0.00,8.00,0.00,0.00,5.00
17:04:50,1,73.20,0.00,8.25,0.00,0.00,18.56
17:04:51,1,53.26,0.00,9.78,0.00,0.00,36.96
17:04:52,1,51.00,0.00,11.00,0.00,0.00,38.00
17:04:53,1,59.38,0.00,12.50,0.00,0.00,28.12
17:04:54,1,50.00,0.00,11.46,0.00,0.00,38.54
17:04:55,1,47.47,0.00,14.14,0.00,0.00,38.38
17:04:56,1,51.46,0.00,14.56,0.00,0.00,33.98
17:04:57,1,44.55,0.00,30.00,0.00,0.00,25.45
17:04:58,1,49.50,0.00,12.87,0.00,0.00,37.62
17:04:59,1,47.00,0.00,14.00,0.00,0.00,39.00
17:05:00,1,51.92,0.00,15.38,0.00,0.00,32.69
17:05:01,1,77.08,0.00,9.38,0.00,0.00,13.54
17:05:02,1,56.99,0.00,6.45,0.00,0.00,36.56
17:05:03,1,48.96,0.00,18.75,0.00,0.00,32.29
17:05:04,1,75.00,0.00,8.00,0.00,0.00,17.00
17:05:05,1,49.48,0.00,11.34,0.00,0.00,39.18
17:05:06,1,73.20,0.00,6.19,0.00,0.00,20.62
17:05:07,1,63.27,0.00,11.22,0.00,0.00,25.51
17:05:08,1,48.96,0.00,12.50,0.00,0.00,38.54
Average:,1,62.64,0.00,11.51,0.00,0.00,25.84
