16:53:41,CPU,%user,%nice,%system,%iowait,%steal,%idle
16:53:42,2,27.17,0.00,9.78,0.00,0.00,63.04
16:53:43,2,26.67,0.00,4.44,0.00,0.00,68.89
16:53:44,2,36.89,0.00,5.83,0.00,0.00,57.28
16:53:45,2,35.42,0.00,5.21,0.00,0.00,59.38
16:53:46,2,31.96,0.00,2.06,0.00,0.00,65.98
16:53:47,2,45.83,0.00,2.08,0.00,0.00,52.08
16:53:48,2,40.00,0.00,4.00,0.00,0.00,56.00
16:53:49,2,26.00,2.00,9.00,0.00,0.00,63.00
16:53:50,2,29.13,0.00,8.74,0.00,0.00,62.14
16:53:51,2,29.47,0.00,5.26,0.00,0.00,65.26
16:53:52,2,32.35,0.00,5.88,0.00,0.00,61.76
16:53:53,2,28.87,0.00,12.37,0.00,0.00,58.76
16:53:54,2,45.54,0.00,3.96,0.00,0.00,50.50
16:53:55,2,34.95,0.00,12.62,0.00,0.00,52.43
16:53:56,2,26.92,0.00,14.42,0.00,0.00,58.65
16:53:57,2,29.70,0.00,9.90,0.00,0.00,60.40
16:53:58,2,30.00,0.00,11.00,0.00,0.00,59.00
16:53:59,2,32.00,1.00,4.00,0.00,0.00,63.00
16:54:00,2,35.92,0.00,6.80,0.00,0.00,57.28
16:54:01,2,34.31,0.00,8.82,0.00,0.00,56.86
16:54:02,2,32.65,1.02,6.12,0.00,0.00,60.20
16:54:03,2,35.85,0.00,6.60,0.00,0.00,57.55
16:54:04,2,33.33,0.00,5.21,0.00,0.00,61.46
16:54:05,2,33.66,0.00,12.87,0.00,0.00,53.47
16:54:06,2,31.63,0.00,9.18,0.00,0.00,59.18
16:54:07,2,38.24,0.00,6.86,0.00,0.00,54.90
16:54:08,2,35.00,0.00,8.00,0.00,0.00,57.00
16:54:09,2,41.35,0.00,7.69,0.00,0.00,50.96
16:54:10,2,29.52,0.00,6.67,0.00,0.00,63.81
16:54:11,2,23.76,0.00,10.89,0.00,0.00,65.35
16:54:12,2,37.50,0.00,3.85,0.00,0.00,58.65
16:54:13,2,31.43,0.00,6.67,0.00,0.00,61.90
16:54:14,2,39.39,0.00,5.05,0.00,0.00,55.56
16:54:15,2,30.85,0.00,4.26,0.00,0.00,64.89
16:54:16,2,36.00,0.00,8.00,0.00,0.00,56.00
16:54:17,2,34.95,0.00,12.62,0.00,0.00,52.43
16:54:18,2,30.69,0.00,7.92,0.00,0.00,61.39
16:54:19,2,35.42,0.00,9.38,0.00,0.00,55.21
16:54:20,2,25.56,0.00,6.67,0.00,0.00,67.78
16:54:21,2,20.62,0.00,10.31,0.00,0.00,69.07
16:54:22,2,36.19,0.00,9.52,0.00,0.00,54.29
16:54:23,2,32.71,0.00,8.41,0.00,0.00,58.88
16:54:24,2,25.74,0.00,10.89,0.00,0.00,63.37
16:54:25,2,31.91,0.00,4.26,0.00,0.00,63.83
16:54:26,2,38.24,0.00,11.76,0.00,0.00,50.00
16:54:27,2,32.67,0.00,9.90,0.00,0.00,57.43
16:54:28,2,35.45,0.00,10.91,0.00,0.00,53.64
16:54:29,2,28.71,0.00,7.92,0.00,0.00,63.37
16:54:30,2,26.26,0.00,12.12,0.00,0.00,61.62
16:54:31,2,29.52,0.00,9.52,0.00,0.00,60.95
16:54:32,2,34.62,0.00,10.58,0.00,0.00,54.81
16:54:33,2,28.57,0.00,5.10,0.00,0.00,66.33
16:54:34,2,30.48,0.00,15.24,0.00,0.00,54.29
16:54:35,2,34.65,0.00,6.93,0.00,0.00,58.42
16:54:36,2,40.59,0.00,11.88,0.00,0.00,47.52
16:54:37,2,33.98,0.00,3.88,0.00,0.00,62.14
16:54:38,2,30.39,0.00,7.84,0.00,0.00,61.76
16:54:39,2,36.89,0.00,10.68,0.00,0.00,52.43
16:54:40,2,28.42,0.00,12.63,0.00,0.00,58.95
16:54:41,2,40.95,0.00,1.90,0.00,0.00,57.14
Average:,2,32.95,0.07,8.08,0.00,0.00,58.90
